Team,HomeFT,AwayFT,HomeWin,AwayWin,HomeFG%,AwayFG%,Home3P%,Away3P%,HomeOff,HomeDef,AwayOff,AwayDef,Win,Offensive,Defensive,Offensive Skew
Phoenix Suns,81.6,85.3,0.75,0.667,49.4,48.7,38.8,36.7,117.1,107.9,115.5,112.9,0.7085,116.3,110.4,5.9
San Antonio Spurs,77.5,80.7,0.389,0.528,46.3,46.2,35.9,34.1,109.9,112.8,111.2,111.3,0.4585,110.55,112.05,-1.5
Denver Nuggets,79.2,81.6,0.694,0.611,48.2,48.8,37.7,37.6,116.8,110.6,115.8,112.3,0.6525,116.3,111.45,4.85
Houston Rockets,73.7,74.4,0.25,0.222,43.4,45.3,32.5,35.3,105.2,113.4,108.8,115.4,0.236,107,114.4,-7.4
LA Clippers,83,84.9,0.722,0.583,49,47.4,42.4,39.8,118.5,110.2,114.9,110.9,0.6525,116.7,110.55,6.15
Washington Wizards,76.3,77.5,0.528,0.417,48.3,46.6,34.3,35.9,112.1,112,109.3,112.6,0.4725,110.7,112.3,-1.6
Indiana Pacers,77.8,80.9,0.361,0.583,46.6,48.2,34.8,37.8,110,112.6,113.8,111.2,0.472,111.9,111.9,0
Portland Trail Blazers,83.1,81.5,0.556,0.611,44.6,46,37.5,39.6,116,114.8,118.3,115.9,0.5835,117.15,115.35,1.8
Boston Celtics,79.5,75.6,0.583,0.417,47.4,45.8,37.7,37,114.5,111.6,111.7,112,0.5,113.1,111.8,1.3
Toronto Raptors,83,80,0.444,0.306,44.4,45.2,35.8,37.8,111.5,110,111.7,114,0.375,111.6,112,-0.4
Oklahoma City Thunder,71.9,73,0.278,0.333,44.8,43.4,34.2,33.6,103.6,115.6,102,111.2,0.3055,102.8,113.4,-10.6
Atlanta Hawks,81.1,81.3,0.694,0.444,47.5,46,38.4,36.2,115.5,109.4,113.1,114.8,0.569,114.3,112.1,2.2
Orlando Magic,77.9,77.2,0.306,0.278,43.5,42.3,36.9,31.5,105.9,114.9,103.3,112.8,0.292,104.6,113.85,-9.25
Golden State Warriors,79.2,77.7,0.694,0.389,48.5,45.2,38.5,36.6,114,108.9,106.9,109.9,0.5415,110.45,109.4,1.05
Dallas Mavericks,76.9,78.8,0.583,0.583,46.7,47.4,35.9,36.5,113,112.9,116.3,111.7,0.583,114.65,112.3,2.35
Miami Heat,80.7,77.1,0.583,0.528,47.1,46.6,37.1,34.5,112.3,111.8,108.9,109.6,0.5555,110.6,110.7,-0.1
Utah Jazz,81.7,77.9,0.861,0.583,47.2,46.5,39.2,38.6,117.9,105,115.2,110,0.722,116.55,107.5,9.05
Sacramento Kings,75.5,73.6,0.444,0.417,49.5,46.7,38.1,34.7,114.2,118.7,111.2,114.3,0.4305,112.7,116.5,-3.8
Brooklyn Nets,80.8,80,0.778,0.556,49.5,49.3,39.2,39.3,116.6,110.3,118,115.8,0.667,117.3,113.05,4.25
Minnesota Timberwolves,77,75.1,0.361,0.278,44,45.6,34.5,35.2,108.3,114.1,110.2,114.9,0.3195,109.25,114.5,-5.25
Chicago Bulls,79.5,78.7,0.417,0.444,46.9,48.2,37.3,36.6,109.5,111.6,111.2,111.4,0.4305,110.35,111.5,-1.15
Memphis Grizzlies,78.2,76,0.5,0.556,45.1,48.3,34.9,36.3,109.5,110,113.8,111,0.528,111.65,110.5,1.15
Milwaukee Bucks,73.2,78.7,0.722,0.556,49.1,48.4,40.2,37.5,117.5,109.8,115.6,111.6,0.639,116.55,110.7,5.85
Charlotte Hornets,75.2,77,0.5,0.417,45.5,45.4,37.2,36.7,109.9,110.2,110.3,113.8,0.4585,110.1,112,-1.9
Detriot Pistons,74.6,77.6,0.361,0.194,44.8,45.5,35.2,35,107,110,108.2,114.3,0.2775,107.6,112.15,-4.55
Philadelphia 76ers,76.6,76.9,0.806,0.556,48.6,46.6,39,35.6,114.9,106.4,110,107.7,0.681,112.45,107.05,5.4
Cleveland Cavaliers,75.5,73.1,0.361,0.25,46,44,36.5,30.7,108,114.4,102.4,112.6,0.3055,105.2,113.5,-8.3
Los Angeles Lakers,74.5,73.2,0.583,0.583,47.9,46.5,34.1,36.7,110.1,106.5,109.5,107.2,0.583,109.8,106.85,2.95
New York Knicks,79.7,77.1,0.694,0.444,46.3,45,39.5,38.9,112.8,108.4,107.6,107.1,0.569,110.2,107.75,2.45
New Orleans Pelicans,73.3,72.5,0.5,0.361,48.1,47.4,34.9,34.7,113.5,112.2,112.4,114.4,0.4305,112.95,113.3,-0.35